05/04/2022 15:36:35, File Created!
05/04/2022 15:38:33:931, 4, repeating_exercise
05/04/2022 15:38:34:242, 43, repeating_exercise
05/04/2022 15:38:34:471, 2, repeating_exercise
05/04/2022 15:38:34:745, 3, repeating_exercise
05/04/2022 15:38:35:016, 4, repeating_exercise
05/04/2022 15:38:35:287, 5, repeating_exercise
05/04/2022 15:38:35:616, 61, repeating_exercise
05/04/2022 15:38:35:831, 6, repeating_exercise
05/04/2022 15:38:36:110, 6, repeating_exercise
05/04/2022 15:38:36:450, 41, repeating_exercise
05/04/2022 15:38:36:694, 5, repeating_exercise
05/04/2022 15:38:36:965, 4, repeating_exercise
05/04/2022 15:38:37:507, 3, repeating_exercise
05/04/2022 15:38:37:834, 60, repeating_exercise
05/04/2022 15:38:38:048, 2, repeating_exercise
05/04/2022 15:38:38:319, 2, repeating_exercise
05/04/2022 15:38:38:595, 8, repeating_exercise
05/04/2022 15:38:38:861, 2, repeating_exercise
05/04/2022 15:38:39:170, 41, repeating_exercise
05/04/2022 15:38:39:402, 2, repeating_exercise
05/04/2022 15:38:39:989, 48, repeating_exercise
05/04/2022 15:38:40:220, 7, repeating_exercise
05/04/2022 15:38:40:487, 2, repeating_exercise
05/04/2022 15:38:40:758, 3, repeating_exercise
05/04/2022 15:38:41:031, 5, repeating_exercise
05/04/2022 15:38:41:303, 7, repeating_exercise
05/04/2022 15:38:41:569, 2, repeating_exercise
05/04/2022 15:38:41:840, 3, repeating_exercise
05/04/2022 15:38:42:112, 3, repeating_exercise
05/04/2022 15:38:42:384, 5, repeating_exercise
05/04/2022 15:38:42:656, 6, repeating_exercise
05/04/2022 15:38:42:924, 3, repeating_exercise
05/04/2022 15:38:43:195, 4, repeating_exercise
05/04/2022 15:38:43:466, 4, repeating_exercise
05/04/2022 15:38:43:736, 2, repeating_exercise
05/04/2022 15:38:44:045, 40, repeating_exercise
05/04/2022 15:38:44:280, 4, repeating_exercise
05/04/2022 15:38:44:599, 53, repeating_exercise
05/04/2022 15:38:44:821, 4, repeating_exercise
05/04/2022 15:38:45:139, 51, repeating_exercise
05/04/2022 15:38:45:454, 96, repeating_exercise
05/04/2022 15:38:45:634, 4, repeating_exercise
05/04/2022 15:38:45:906, 5, repeating_exercise
05/04/2022 15:38:46:175, 4, repeating_exercise
05/04/2022 15:38:46:445, 2, repeating_exercise
05/04/2022 15:38:46:763, 49, repeating_exercise
05/04/2022 15:38:46:987, 3, repeating_exercise
05/04/2022 15:38:47:257, 3, repeating_exercise
05/04/2022 15:38:47:527, 2, repeating_exercise
05/04/2022 15:38:47:854, 58, repeating_exercise
05/04/2022 15:38:48:092, 26, repeating_exercise
05/04/2022 15:38:48:340, 4, repeating_exercise
05/04/2022 15:38:48:612, 5, repeating_exercise
05/04/2022 15:38:48:884, 6, repeating_exercise
05/04/2022 15:38:49:153, 4, repeating_exercise
05/04/2022 15:38:49:422, 3, repeating_exercise
05/04/2022 15:38:49:699, 8, repeating_exercise
05/04/2022 15:38:49:966, 5, repeating_exercise
05/04/2022 15:38:50:238, 6, repeating_exercise
05/04/2022 15:38:50:559, 56, repeating_exercise
05/04/2022 15:38:50:778, 5, repeating_exercise
05/04/2022 15:38:51:066, 23, repeating_exercise
05/04/2022 15:38:51:343, 13, repeating_exercise
05/04/2022 15:38:51:609, 3, repeating_exercise
05/04/2022 15:38:51:921, 36, repeating_exercise
05/04/2022 15:38:52:180, 22, repeating_exercise
05/04/2022 15:38:52:522, 53, repeating_exercise
05/04/2022 15:38:52:865, 75, repeating_exercise
05/04/2022 15:38:53:093, 8, repeating_exercise
05/04/2022 15:38:53:466, 34, repeating_exercise
05/04/2022 15:38:53:738, 14, repeating_exercise
05/04/2022 15:38:54:082, 84, repeating_exercise
05/04/2022 15:38:54:305, 35, repeating_exercise
05/04/2022 15:38:54:608, 68, repeating_exercise
05/04/2022 15:38:54:833, 22, repeating_exercise
05/04/2022 15:38:55:110, 28, repeating_exercise
05/04/2022 15:38:55:844, 219, repeating_exercise
05/04/2022 15:38:56:035, 11, repeating_exercise
05/04/2022 15:38:56:300, 4, repeating_exercise
05/04/2022 15:38:56:589, 21, repeating_exercise
05/04/2022 15:38:56:842, 2, repeating_exercise
05/04/2022 15:38:57:200, 90, repeating_exercise
05/04/2022 15:38:57:396, 15, repeating_exercise
05/04/2022 15:38:57:700, 47, repeating_exercise
05/04/2022 15:38:58:001, 77, repeating_exercise
05/04/2022 15:38:58:205, 9, repeating_exercise
05/04/2022 15:38:58:530, 56, repeating_exercise
05/04/2022 15:38:58:785, 34, repeating_exercise
05/04/2022 15:38:59:089, 67, repeating_exercise
05/04/2022 15:38:59:328, 35, repeating_exercise
05/04/2022 15:38:59:568, 4, repeating_exercise
05/04/2022 15:38:59:842, 5, repeating_exercise
05/04/2022 15:39:00:112, 4, repeating_exercise
05/04/2022 15:39:00:392, 11, repeating_exercise
05/04/2022 15:39:00:752, 96, repeating_exercise
05/04/2022 15:39:00:933, 4, repeating_exercise
05/04/2022 15:39:01:512, 37, repeating_exercise
05/04/2022 15:39:01:768, 23, repeating_exercise
05/04/2022 15:39:02:137, 108, repeating_exercise
05/04/2022 15:39:02:339, 38, repeating_exercise
05/04/2022 15:39:02:578, 5, repeating_exercise
05/04/2022 15:39:02:918, 75, repeating_exercise
05/04/2022 15:39:03:119, 5, repeating_exercise
05/04/2022 15:39:03:390, 6, repeating_exercise
05/04/2022 15:39:03:700, 45, repeating_exercise
05/04/2022 15:39:03:934, 9, repeating_exercise
05/04/2022 15:39:04:260, 64, repeating_exercise
05/04/2022 15:39:04:532, 65, repeating_exercise
05/04/2022 15:39:04:758, 5, repeating_exercise
05/04/2022 15:39:05:031, 4, repeating_exercise
05/04/2022 15:39:05:300, 2, repeating_exercise
05/04/2022 15:39:05:632, 64, repeating_exercise
05/04/2022 15:39:05:871, 31, repeating_exercise
05/04/2022 15:39:06:118, 6, repeating_exercise
05/04/2022 15:39:06:390, 7, repeating_exercise
05/04/2022 15:39:06:657, 3, repeating_exercise
05/04/2022 15:39:06:930, 6, repeating_exercise
05/04/2022 15:39:07:292, 97, repeating_exercise
05/04/2022 15:39:07:469, 4, repeating_exercise
05/04/2022 15:39:07:741, 5, repeating_exercise
05/04/2022 15:39:08:010, 4, repeating_exercise
05/04/2022 15:39:08:288, 10, repeating_exercise
05/04/2022 15:39:08:844, 22, repeating_exercise
05/04/2022 15:39:09:148, 53, repeating_exercise
