06/04/2022 14:41:10, File Created!
06/04/2022 14:43:55:690, 23, repeating_exercise
06/04/2022 14:43:55:992, 52, repeating_exercise
06/04/2022 14:43:56:226, 15, repeating_exercise
06/04/2022 14:43:56:494, 8, repeating_exercise
06/04/2022 14:43:56:849, 91, repeating_exercise
06/04/2022 14:43:57:045, 16, repeating_exercise
06/04/2022 14:43:57:354, 53, repeating_exercise
06/04/2022 14:43:57:582, 9, repeating_exercise
06/04/2022 14:43:57:904, 56, repeating_exercise
06/04/2022 14:43:58:433, 15, repeating_exercise
06/04/2022 14:43:58:836, 124, repeating_exercise
06/04/2022 14:43:59:045, 60, repeating_exercise
06/04/2022 14:43:59:322, 48, repeating_exercise
06/04/2022 14:43:59:625, 66, repeating_exercise
06/04/2022 14:44:00:246, 71, repeating_exercise
06/04/2022 14:44:00:631, 145, repeating_exercise
06/04/2022 14:44:01:196, 91, repeating_exercise
06/04/2022 14:44:01:418, 32, repeating_exercise
06/04/2022 14:44:01:671, 4, repeating_exercise
06/04/2022 14:44:02:245, 20, repeating_exercise
06/04/2022 14:44:02:510, 11, repeating_exercise
06/04/2022 14:44:02:823, 52, repeating_exercise
06/04/2022 14:44:03:760, 52, repeating_exercise
06/04/2022 14:44:04:345, 14, repeating_exercise
06/04/2022 14:44:06:276, 126, repeating_exercise
06/04/2022 14:44:07:515, 73, repeating_exercise
06/04/2022 14:44:07:744, 23, repeating_exercise
06/04/2022 14:44:08:000, 8, repeating_exercise
06/04/2022 14:44:08:285, 21, repeating_exercise
06/04/2022 14:44:08:585, 50, repeating_exercise
06/04/2022 14:44:09:102, 25, repeating_exercise
06/04/2022 14:44:09:403, 55, repeating_exercise
06/04/2022 14:44:09:718, 99, repeating_exercise
06/04/2022 14:44:09:908, 14, repeating_exercise
06/04/2022 14:44:10:173, 8, repeating_exercise
06/04/2022 14:44:10:447, 7, repeating_exercise
06/04/2022 14:44:10:720, 9, repeating_exercise
06/04/2022 14:44:11:076, 88, repeating_exercise
06/04/2022 14:44:11:279, 20, repeating_exercise
06/04/2022 14:44:11:579, 49, repeating_exercise
06/04/2022 14:44:11:885, 79, repeating_exercise
06/04/2022 14:44:12:408, 59, repeating_exercise
06/04/2022 14:44:12:655, 35, repeating_exercise
06/04/2022 14:44:12:938, 40, repeating_exercise
06/04/2022 14:44:13:238, 67, repeating_exercise
06/04/2022 14:44:13:546, 98, repeating_exercise
