06/04/2022 10:53:58, File Created!
06/04/2022 11:56:48:172, 3, repeating_exercise
06/04/2022 11:56:48:451, 8, repeating_exercise
06/04/2022 11:56:48:719, 4, idle
06/04/2022 11:56:48:989, 3, idle
06/04/2022 11:56:49:261, 4, idle
06/04/2022 11:56:49:571, 43, repeating_exercise
06/04/2022 11:56:49:811, 12, repeating_exercise
06/04/2022 11:56:50:128, 59, repeating_exercise
06/04/2022 11:56:50:376, 36, repeating_exercise
06/04/2022 11:56:50:635, 23, idle
06/04/2022 11:56:50:936, 54, repeating_exercise
06/04/2022 11:56:51:161, 6, repeating_exercise
06/04/2022 11:56:51:430, 5, repeating_exercise
06/04/2022 11:56:51:698, 3, repeating_exercise
06/04/2022 11:56:51:976, 8, idle
06/04/2022 11:56:52:323, 85, repeating_exercise
06/04/2022 11:56:52:519, 7, repeating_exercise
06/04/2022 11:56:52:787, 4, repeating_exercise
06/04/2022 11:56:53:059, 6, idle
06/04/2022 11:56:53:417, 91, repeating_exercise
